"theta","vectors:0","vectors:1","vectors:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.00087218,-0.00087162,3.1292e-05,1,1,0,0,0,0
0.00098938,-0.00089117,0.00011496,1,1,0.000999,0.000999,0,0
0.0011066,-0.00091072,0.00019863,1,1,0.001998,0.001998,0,0
0.0012238,-0.00093027,0.0002823,1,1,0.002997,0.002997,0,0
0.001341,-0.00094982,0.00036596,1,1,0.003996,0.003996,0,0
0.0014582,-0.00096937,0.00044963,1,1,0.004995,0.004995,0,0
0.0015754,-0.00098892,0.0005333,1,1,0.005994,0.005994,0,0
0.0016926,-0.0010085,0.00061697,1,1,0.006993,0.006993,0,0
0.0018098,-0.001028,0.00070064,1,1,0.007992,0.007992,0,0
0.001927,-0.0010476,0.00078431,1,1,0.008991,0.008991,0,0
0.0020442,-0.0010671,0.00086797,1,1,0.00999,0.00999,0,0
0.0021614,-0.0010867,0.00095164,1,1,0.010989,0.010989,0,0
0.0022787,-0.0011062,0.0010353,1,1,0.011988,0.011988,0,0
0.0023959,-0.0011258,0.001119,1,1,0.012987,0.012987,0,0
0.0025131,-0.0011453,0.0012026,1,1,0.013986,0.013986,0,0
0.0026303,-0.0011649,0.0012863,0.99999,1,0.014985,0.014985,0,0
0.0027475,-0.0011844,0.00137,0.99999,1,0.015984,0.015984,0,0
0.0028647,-0.001204,0.0014537,0.99999,1,0.016983,0.016983,0,0
0.0029819,-0.0012235,0.0015373,0.99999,1,0.017982,0.017982,0,0
0.0030991,-0.0012431,0.001621,0.99999,1,0.018981,0.018981,0,0
0.0032163,-0.0012626,0.0017047,0.99999,1,0.01998,0.01998,0,0
0.0033335,-0.0012822,0.0017883,0.99999,1,0.020979,0.020979,0,0
0.0034507,-0.0013017,0.001872,0.99999,1,0.021978,0.021978,0,0
0.0035679,-0.0013213,0.0019557,0.99999,1,0.022977,0.022977,0,0
0.0036851,-0.0013408,0.0020393,0.99999,1,0.023976,0.023976,0,0
0.0038023,-0.0013604,0.002123,0.99999,1,0.024975,0.024975,0,0
0.0039195,-0.0013799,0.0022067,0.99999,1,0.025974,0.025974,0,0
0.0040367,-0.0013995,0.0022903,0.99999,1,0.026973,0.026973,0,0
0.0041539,-0.001419,0.002374,0.99999,1,0.027972,0.027972,0,0
0.0042712,-0.0014386,0.0024577,0.99999,1,0.028971,0.028971,0,0
0.0043884,-0.0014581,0.0025413,0.99999,1,0.02997,0.02997,0,0
0.0045056,-0.0014777,0.002625,0.99999,1,0.030969,0.030969,0,0
0.0046228,-0.0014972,0.0027087,0.99999,1,0.031968,0.031968,0,0
0.0047206,-0.0015052,0.00281,0.99999,1,0.032967,0.032967,0,0
0.0047912,-0.0014968,0.0029361,0.99999,1,0.033966,0.033966,0,0
0.0048618,-0.0014885,0.0030622,0.99999,1,0.034965,0.034965,0,0
0.0049324,-0.0014802,0.0031883,0.99999,1,0.035964,0.035964,0,0
0.0050031,-0.0014719,0.0033144,0.99999,1,0.036963,0.036963,0,0
0.0050737,-0.0014635,0.0034406,0.99999,1,0.037962,0.037962,0,0
0.0051443,-0.0014552,0.0035667,0.99999,1,0.038961,0.038961,0,0
0.0052149,-0.0014469,0.0036928,0.99999,1,0.03996,0.03996,0,0
0.0052856,-0.0014385,0.0038189,0.99999,1,0.040959,0.040959,0,0
0.0053562,-0.0014302,0.003945,0.99998,1,0.041958,0.041958,0,0
0.0054268,-0.0014219,0.0040711,0.99998,1,0.042957,0.042957,0,0
0.0054974,-0.0014135,0.0041972,0.99998,1,0.043956,0.043956,0,0
0.0055681,-0.0014052,0.0043233,0.99998,1,0.044955,0.044955,0,0
0.0056387,-0.0013969,0.0044494,0.99998,1,0.045954,0.045954,0,0
0.0057093,-0.0013886,0.0045755,0.99998,1,0.046953,0.046953,0,0
0.0057799,-0.0013802,0.0047016,0.99998,1,0.047952,0.047952,0,0
0.0058506,-0.0013719,0.0048277,0.99998,1,0.048951,0.048951,0,0
0.0059212,-0.0013636,0.0049538,0.99998,1,0.04995,0.04995,0,0
0.0059918,-0.0013552,0.0050799,0.99998,1,0.050949,0.050949,0,0
0.0060624,-0.0013469,0.005206,0.99998,1,0.051948,0.051948,0,0
0.0061331,-0.0013386,0.0053322,0.99998,1,0.052947,0.052947,0,0
0.0062037,-0.0013302,0.0054583,0.99998,1,0.053946,0.053946,0,0
0.0062743,-0.0013219,0.0055844,0.99998,1,0.054945,0.054945,0,0
0.0063449,-0.0013136,0.0057105,0.99998,1,0.055944,0.055944,0,0
0.0064156,-0.0013052,0.0058366,0.99998,1,0.056943,0.056943,0,0
0.0064862,-0.0012969,0.0059627,0.99998,1,0.057942,0.057942,0,0
0.0065568,-0.0012886,0.0060888,0.99998,1,0.058941,0.058941,0,0
0.0066274,-0.0012803,0.0062149,0.99998,1,0.05994,0.05994,0,0
0.0066981,-0.0012719,0.006341,0.99998,1,0.060939,0.060939,0,0
0.0067687,-0.0012636,0.0064671,0.99998,1,0.061938,0.061938,0,0
0.0068393,-0.0012553,0.0065932,0.99998,1,0.062937,0.062937,0,0
0.0069099,-0.0012469,0.0067193,0.99998,1,0.063936,0.063936,0,0
0.006981,-0.0012387,0.0068454,0.99998,1,0.064935,0.064935,0,0
0.0070873,-0.0012371,0.0069688,0.99998,1,0.065934,0.065934,0,0
0.0072072,-0.0012374,0.0070897,0.99997,1,0.066933,0.066933,0,0
0.0073272,-0.0012378,0.0072107,0.99997,1,0.067932,0.067932,0,0
0.0074471,-0.0012382,0.0073317,0.99997,1,0.068931,0.068931,0,0
0.0075671,-0.0012386,0.0074527,0.99997,1,0.06993,0.06993,0,0
0.007687,-0.0012389,0.0075736,0.99997,1,0.070929,0.070929,0,0
0.0078069,-0.0012393,0.0076946,0.99997,1,0.071928,0.071928,0,0
0.0079269,-0.0012397,0.0078156,0.99997,1,0.072927,0.072927,0,0
0.0080468,-0.0012401,0.0079366,0.99997,1,0.073926,0.073926,0,0
0.0081668,-0.0012405,0.0080576,0.99996,1,0.074925,0.074925,0,0
0.0082867,-0.0012408,0.0081785,0.99996,1,0.075924,0.075924,0,0
0.0084066,-0.0012412,0.0082995,0.99996,1,0.076923,0.076923,0,0
0.0085266,-0.0012416,0.0084205,0.99996,1,0.077922,0.077922,0,0
0.0086465,-0.001242,0.0085415,0.99996,1,0.078921,0.078921,0,0
0.0087664,-0.0012423,0.0086624,0.99996,1,0.07992,0.07992,0,0
0.0088864,-0.0012427,0.0087834,0.99996,1,0.080919,0.080919,0,0
0.0090063,-0.0012431,0.0089044,0.99996,1,0.081918,0.081918,0,0
0.0091263,-0.0012435,0.0090254,0.99995,1,0.082917,0.082917,0,0
0.0092462,-0.0012439,0.0091463,0.99995,1,0.083916,0.083916,0,0
0.0093661,-0.0012442,0.0092673,0.99995,1,0.084915,0.084915,0,0
0.0094861,-0.0012446,0.0093883,0.99995,1,0.085914,0.085914,0,0
0.009606,-0.001245,0.0095093,0.99995,1,0.086913,0.086913,0,0
0.0097259,-0.0012454,0.0096302,0.99995,1,0.087912,0.087912,0,0
0.0098459,-0.0012457,0.0097512,0.99995,1,0.088911,0.088911,0,0
0.0099658,-0.0012461,0.0098722,0.99995,1,0.08991,0.08991,0,0
0.010086,-0.0012465,0.0099932,0.99995,1,0.090909,0.090909,0,0
0.010206,-0.0012469,0.010114,0.99994,1,0.091908,0.091908,0,0
0.010326,-0.0012473,0.010235,0.99994,1,0.092907,0.092907,0,0
0.010446,-0.0012476,0.010356,0.99994,1,0.093906,0.093906,0,0
0.010566,-0.001248,0.010477,0.99994,1,0.094905,0.094905,0,0
0.010685,-0.0012484,0.010598,0.99994,1,0.095904,0.095904,0,0
0.010805,-0.0012488,0.010719,0.99994,1,0.096903,0.096903,0,0
0.010925,-0.0012491,0.01084,0.99994,1,0.097902,0.097902,0,0
0.011045,-0.0012495,0.010961,0.99994,1,0.098901,0.098901,0,0
0.011165,-0.0012499,0.011082,0.99993,1,0.0999,0.0999,0,0
0.011285,-0.0012503,0.011203,0.99993,1,0.1009,0.1009,0,0
0.011405,-0.0012507,0.011324,0.99993,1,0.1019,0.1019,0,0
0.011525,-0.001251,0.011445,0.99993,1,0.1029,0.1029,0,0
0.011645,-0.0012514,0.011566,0.99993,1,0.1039,0.1039,0,0
0.011765,-0.0012518,0.011687,0.99993,1,0.1049,0.1049,0,0
0.011885,-0.0012522,0.011808,0.99993,1,0.10589,0.10589,0,0
0.012005,-0.0012525,0.011929,0.99993,1,0.10689,0.10689,0,0
0.012125,-0.0012529,0.01205,0.99992,1,0.10789,0.10789,0,0
0.012245,-0.0012533,0.012171,0.99992,1,0.10889,0.10889,0,0
0.012365,-0.0012537,0.012292,0.99992,1,0.10989,0.10989,0,0
0.012485,-0.0012541,0.012413,0.99992,1,0.11089,0.11089,0,0
0.012604,-0.0012544,0.012534,0.99992,1,0.11189,0.11189,0,0
0.012724,-0.0012548,0.012655,0.99992,1,0.11289,0.11289,0,0
0.012842,-0.0012562,0.012775,0.99992,1,0.11389,0.11389,0,0
0.012964,-0.0012578,0.012898,0.99992,1,0.11489,0.11489,0,0
0.013087,-0.0012594,0.013021,0.99991,1,0.11588,0.11588,0,0
0.01321,-0.001261,0.013145,0.99991,1,0.11688,0.11688,0,0
0.013333,-0.0012626,0.013268,0.99991,1,0.11788,0.11788,0,0
0.013456,-0.0012642,0.013391,0.99991,1,0.11888,0.11888,0,0
0.013578,-0.0012658,0.013514,0.99991,1,0.11988,0.11988,0,0
