"theta","vectors:0","vectors:1","vectors:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.0093641,0.00021717,-0.0093614,0.99996,1,0,0,0,0
0.0094423,2.414e-05,-0.0093625,0.99995,1,0.000999,0,0.000999,0
0.0095204,-0.00016889,-0.0093636,0.99995,1,0.001998,0,0.001998,0
0.0095986,-0.00036192,-0.0093647,0.99995,1,0.002997,0,0.002997,0
0.0096768,-0.00055495,-0.0093658,0.99995,1,0.003996,0,0.003996,0
0.009755,-0.00074798,-0.0093669,0.99995,1,0.004995,0,0.004995,0
0.0098332,-0.00094101,-0.0093679,0.99995,1,0.005994,0,0.005994,0
0.0099114,-0.001134,-0.009369,0.99995,1,0.006993,0,0.006993,0
0.0099896,-0.0013271,-0.0093701,0.99995,1,0.007992,0,0.007992,0
0.010068,-0.0015201,-0.0093712,0.99994,1,0.008991,0,0.008991,0
0.010146,-0.0017131,-0.0093723,0.99994,1,0.00999,0,0.00999,0
0.010224,-0.0019062,-0.0093734,0.99994,1,0.010989,0,0.010989,0
0.010302,-0.0020992,-0.0093745,0.99994,1,0.011988,0,0.011988,0
0.010381,-0.0022922,-0.0093756,0.99994,1,0.012987,0,0.012987,0
0.010459,-0.0024853,-0.0093766,0.99994,1,0.013986,0,0.013986,0
0.010537,-0.0026783,-0.0093777,0.99994,1,0.014985,0,0.014985,0
0.010615,-0.0028713,-0.0093788,0.99994,1,0.015984,0,0.015984,0
0.010693,-0.0030643,-0.0093799,0.99993,1,0.016983,0,0.016983,0
0.010771,-0.0032574,-0.009381,0.99993,1,0.017982,0,0.017982,0
0.01085,-0.0034504,-0.0093821,0.99993,1,0.018981,0,0.018981,0
0.010928,-0.0036434,-0.0093832,0.99993,1,0.01998,0,0.01998,0
0.011006,-0.0038365,-0.0093843,0.99993,1,0.020979,0,0.020979,0
0.011084,-0.0040295,-0.0093853,0.99993,1,0.021978,0,0.021978,0
0.011162,-0.0042225,-0.0093864,0.99993,1,0.022977,0,0.022977,0
0.011241,-0.0044156,-0.0093875,0.99993,1,0.023976,0,0.023976,0
0.011319,-0.0046086,-0.0093886,0.99992,1,0.024975,0,0.024975,0
0.011397,-0.0048016,-0.0093897,0.99992,1,0.025974,0,0.025974,0
0.011475,-0.0049947,-0.0093908,0.99992,1,0.026973,0,0.026973,0
0.011553,-0.0051877,-0.0093919,0.99992,1,0.027972,0,0.027972,0
0.011631,-0.0053807,-0.009393,0.99992,1,0.028971,0,0.028971,0
0.01171,-0.0055737,-0.009394,0.99992,1,0.02997,0,0.02997,0
0.011788,-0.0057668,-0.0093951,0.99992,1,0.030969,0,0.030969,0
0.011866,-0.0059598,-0.0093962,0.99992,1,0.031968,0,0.031968,0
0.011958,-0.0061551,-0.0093937,0.99992,1,0.032967,0,0.032967,0
0.012068,-0.0063536,-0.0093862,0.99991,1,0.033966,0,0.033966,0
0.012179,-0.006552,-0.0093786,0.99991,1,0.034965,0,0.034965,0
0.01229,-0.0067505,-0.0093711,0.99991,1,0.035964,0,0.035964,0
0.0124,-0.006949,-0.0093636,0.99991,1,0.036963,0,0.036963,0
0.012511,-0.0071474,-0.009356,0.99991,1,0.037962,0,0.037962,0
0.012622,-0.0073459,-0.0093485,0.99991,1,0.038961,0,0.038961,0
0.012732,-0.0075444,-0.0093409,0.99991,1,0.03996,0,0.03996,0
0.012843,-0.0077428,-0.0093334,0.99991,1,0.040959,0,0.040959,0
0.012954,-0.0079413,-0.0093259,0.9999,1,0.041958,0,0.041958,0
0.013064,-0.0081398,-0.0093183,0.9999,1,0.042957,0,0.042957,0
0.013175,-0.0083382,-0.0093108,0.9999,1,0.043956,0,0.043956,0
0.013286,-0.0085367,-0.0093033,0.9999,1,0.044955,0,0.044955,0
0.013396,-0.0087352,-0.0092957,0.9999,1,0.045954,0,0.045954,0
0.013507,-0.0089336,-0.0092882,0.9999,1,0.046953,0,0.046953,0
0.013618,-0.0091321,-0.0092807,0.9999,1,0.047952,0,0.047952,0
0.013728,-0.0093306,-0.0092731,0.9999,1,0.048951,0,0.048951,0
0.013839,-0.009529,-0.0092656,0.9999,1,0.04995,0,0.04995,0
0.01395,-0.0097275,-0.009258,0.99989,1,0.050949,0,0.050949,0
0.01406,-0.009926,-0.0092505,0.99989,1,0.051948,0,0.051948,0
0.014171,-0.010124,-0.009243,0.99989,1,0.052947,0,0.052947,0
0.014282,-0.010323,-0.0092354,0.99989,1,0.053946,0,0.053946,0
0.014392,-0.010521,-0.0092279,0.99989,1,0.054945,0,0.054945,0
0.014503,-0.01072,-0.0092204,0.99989,1,0.055944,0,0.055944,0
0.014613,-0.010918,-0.0092128,0.99989,1,0.056943,0,0.056943,0
0.014724,-0.011117,-0.0092053,0.99989,1,0.057942,0,0.057942,0
0.014835,-0.011315,-0.0091977,0.99989,1,0.058941,0,0.058941,0
0.014945,-0.011514,-0.0091902,0.99988,1,0.05994,0,0.05994,0
0.015056,-0.011712,-0.0091827,0.99988,1,0.060939,0,0.060939,0
0.015167,-0.011911,-0.0091751,0.99988,1,0.061938,0,0.061938,0
0.015277,-0.012109,-0.0091676,0.99988,1,0.062937,0,0.062937,0
0.015388,-0.012308,-0.0091601,0.99988,1,0.063936,0,0.063936,0
0.015501,-0.012506,-0.0091526,0.99988,1,0.064935,0,0.064935,0
0.015691,-0.012703,-0.0091552,0.99988,1,0.065934,0,0.065934,0
0.015867,-0.012901,-0.0091621,0.99987,1,0.066933,0,0.066933,0
0.016044,-0.0131,-0.0091691,0.99987,1,0.067932,0,0.067932,0
0.016221,-0.013298,-0.0091761,0.99987,1,0.068931,0,0.068931,0
0.016397,-0.013497,-0.009183,0.99986,1,0.06993,0,0.06993,0
0.016574,-0.013695,-0.00919,0.99986,1,0.070929,0,0.070929,0
0.016751,-0.013893,-0.009197,0.99986,1,0.071928,0,0.071928,0
0.016928,-0.014092,-0.0092039,0.99985,1,0.072927,0,0.072927,0
0.017104,-0.01429,-0.0092109,0.99985,1,0.073926,0,0.073926,0
0.017281,-0.014489,-0.0092178,0.99984,1,0.074925,0,0.074925,0
0.017458,-0.014687,-0.0092248,0.99984,1,0.075924,0,0.075924,0
0.017634,-0.014885,-0.0092318,0.99984,1,0.076923,0,0.076923,0
0.017811,-0.015084,-0.0092387,0.99983,1,0.077922,0,0.077922,0
