p, q, Energy
0.05, 0.0, 22.99768347773259
0.05, 0.05, 22.25212266436758
0.05, 0.1, 21.740680812232608
0.05, 0.15, 21.466298857661126
0.05, 0.2, 21.42357471883953
0.05, 0.25, 21.61493952972378
0.05, 0.3, 22.04354372620337
0.05, 0.35, 22.705092238581475
0.05, 0.4, 23.604992773939333
0.05, 0.45, 24.7286219833617
0.05, 0.5, 26.085917336098777
0.05, 0.55, 27.68684083588368
0.05, 0.6, 29.51520251901931
0.05, 0.65, 31.58019258442487
0.05, 0.7, 33.8787816394797
0.05, 0.75, 36.408416827552536
0.05, 0.8, 39.17199084189412
0.05, 0.85, 42.18028826281072
0.05, 0.9, 45.406730601486984
0.05, 0.95, 48.870232454204356
0.05, 1.0, 52.56794575139466
0.05, 1.05, 56.49985460117479
0.05, 1.1, 60.673714814911996
