s, q, Energy
0.025, 0.3, 23.26317990401638
0.025, 0.4, 24.868347505645048
0.025, 0.5, 27.486358308211262
0.025, 0.6, 31.092028128971382
0.025, 0.7, 35.67319701039281
0.025, 0.8, 41.28276338477073
0.05, 0.3, 23.26593927428555
0.05, 0.4, 24.90518902449729
0.05, 0.5, 27.509370997648137
0.05, 0.6, 31.182613636592112
0.05, 0.7, 35.67759157756802
0.05, 0.8, 41.586447759463965
0.075, 0.3, 23.25481867879222
0.075, 0.4, 24.917380525388882
0.075, 0.5, 27.538604721408547
0.075, 0.6, 31.160665819432335
0.075, 0.7, 35.77532361261907
0.075, 0.8, 41.42252258017622
0.1, 0.3, 23.3243795537499
0.1, 0.4, 24.956559292932315
0.1, 0.5, 27.55855517987237
0.1, 0.6, 31.181607297644284
0.1, 0.7, 35.789970045648346
0.1, 0.8, 41.465701188715904
0.125, 0.3, 23.23421755957686
0.125, 0.4, 24.899511978305327
0.125, 0.5, 27.544897016740336
0.125, 0.6, 31.18131634373461
0.125, 0.7, 35.83522770111611
0.125, 0.8, 41.38573934235888
0.15, 0.3, 23.16563023500789
0.15, 0.4, 24.85616248752061
0.15, 0.5, 27.521714381681242
0.15, 0.6, 31.16073059536309
0.15, 0.7, 35.60997034430955
0.15, 0.8, 41.40895210212248
0.175, 0.3, 22.8561251940356
0.175, 0.4, 24.674222772192703
0.175, 0.5, 27.305871652088385
0.175, 0.6, 30.998139939317717
0.175, 0.7, 35.52781133330383
0.175, 0.8, 41.29176285950191
0.2, 0.3, 22.619375364692498
0.2, 0.4, 24.45404312317005
0.2, 0.5, 27.208904586209393
0.2, 0.6, 30.9050993194286
0.2, 0.7, 35.63213391888685
0.2, 0.8, 41.15138641189459
0.225, 0.3, 22.463531011985935
0.225, 0.4, 24.301357647332523
0.225, 0.5, 27.07762548640523
0.225, 0.6, 30.825949109947953
0.225, 0.7, 35.54238912660079
0.225, 0.8, 41.01684575458286
0.25, 0.3, 22.190355002296666
0.25, 0.4, 24.10210494984007
0.25, 0.5, 26.941712436226616
0.25, 0.6, 30.713181280340283
0.25, 0.7, 35.43599516726773
0.25, 0.8, 40.887805580736305
0.275, 0.3, 22.294080168778212
0.275, 0.4, 24.205204417296926
0.275, 0.5, 27.02834772619706
0.275, 0.6, 30.808382991040897
0.275, 0.7, 35.32511132810097
0.275, 0.8, 41.1564734481162
0.3, 0.3, 22.002489063104978
0.3, 0.4, 23.973416305116466
0.3, 0.5, 26.85045702075116
0.3, 0.6, 30.668028052634433
0.3, 0.7, 35.20728593940973
0.3, 0.8, 40.89230332234555
0.325, 0.3, 21.699911167249173
0.325, 0.4, 23.72964666963243
