s, q, Energy
0.025, 0.3, 23.29133120401639
0.025, 0.4, 24.89614060564505
0.025, 0.5, 27.513535008211264
0.025, 0.6, 31.118963028971375
0.025, 0.7, 35.705557310392805
0.025, 0.8, 41.31828348477073
0.05, 0.3, 23.32224187428555
0.05, 0.4, 24.960775324497284
0.05, 0.5, 27.563724497648145
0.05, 0.6, 31.23648343659211
0.05, 0.7, 35.742312177568024
0.05, 0.8, 41.657487959463964
0.075, 0.3, 23.33927257879222
0.075, 0.4, 25.000759925388877
0.075, 0.5, 27.620134921408543
0.075, 0.6, 31.24147051943234
0.075, 0.7, 35.87240451261906
0.075, 0.8, 41.52908288017622
0.1, 0.3, 23.43698485374989
0.1, 0.4, 25.067731892932308
0.1, 0.5, 27.667262179872377
0.1, 0.6, 31.28934689764429
0.1, 0.7, 35.919411245648355
0.1, 0.8, 41.6077816887159
0.125, 0.3, 23.374974159576844
0.125, 0.4, 25.038477678305334
0.125, 0.5, 27.68078071674034
0.125, 0.6, 31.315990843734614
0.125, 0.7, 35.99702920111611
0.125, 0.8, 41.56333994235887
0.15, 0.3, 23.334538135007882
0.15, 0.4, 25.02292138752062
0.15, 0.5, 27.684774881681246
0.15, 0.6, 31.322339995363087
0.15, 0.7, 35.80413224430955
0.15, 0.8, 41.62207280212247
0.175, 0.3, 23.05318439403559
0.175, 0.4, 24.868774772192694
0.175, 0.5, 27.49610885208839
0.175, 0.6, 31.186684239317724
0.175, 0.7, 35.75433353330383
0.175, 0.8, 41.54040365950192
0.2, 0.3, 22.844585864692494
0.2, 0.4, 24.676388223170047
0.2, 0.5, 27.42631858620941
0.2, 0.6, 31.1205785194286
0.2, 0.7, 35.89101641888685
0.2, 0.8, 41.4355473118946
0.225, 0.3, 22.716892811985936
0.225, 0.4, 24.551495947332516
0.225, 0.5, 27.32221618640522
0.225, 0.6, 31.068363209947922
0.225, 0.7, 35.83363192660079
0.225, 0.8, 41.33652675458284
0.25, 0.3, 22.471868202296676
0.25, 0.4, 24.38003634984007
0.25, 0.5, 27.213479936226623
0.25, 0.6, 30.982530280340292
0.25, 0.7, 35.75959826726772
0.25, 0.8, 41.24300668073629
0.275, 0.3, 22.603744668778205
0.275, 0.4, 24.51092901729693
0.275, 0.5, 27.327291926197052
0.275, 0.6, 31.104666891040893
0.275, 0.7, 35.68107472810097
0.275, 0.8, 41.547194648116196
0.3, 0.3, 22.34030486310497
0.3, 0.4, 24.306934005116453
0.3, 0.5, 27.176578020751155
0.3, 0.6, 30.991246852634422
0.3, 0.7, 35.595609639409716
0.3, 0.8, 41.31854472234554
0.325, 0.3, 22.065878267249165
0.325, 0.4, 24.090957569632433
0.325, 0.5, 27.0128707717424
0.325, 0.6, 30.886901946719885
0.325, 0.7, 35.478274445804395
0.325, 0.8, 41.24545611278606
0.35, 0.3, 21.76987428324645
0.35, 0.4, 23.869248016402842
0.35, 0.5, 26.860855323159146
0.35, 0.6, 30.769088258762828
0.35, 0.7, 35.52909345990487
0.35, 0.8, 41.17102652335791
0.375, 0.3, 21.50745427892893
0.375, 0.4, 23.60377960500711
0.375, 0.5, 26.672626944092304
0.375, 0.6, 30.64277412538714
0.375, 0.7, 35.29673430075807
0.375, 0.8, 41.07346247020721
0.4, 0.3, 21.242646843749245
0.4, 0.4, 23.40810274992777
0.4, 0.5, 26.484140567429364
0.4, 0.6, 30.51940471114913
0.4, 0.7, 35.17721724184278
0.4, 0.8, 40.981931249917814
0.425, 0.3, 20.973426816075357
0.425, 0.4, 23.18395159296933
0.425, 0.5, 26.315799887936116
0.425, 0.6, 30.398624417064838
0.425, 0.7, 35.09542922384585
0.425, 0.8, 40.88332359357652
0.45, 0.3, 20.77032058787736
0.45, 0.4, 22.960580385728658
0.45, 0.5, 26.142113796357673
0.45, 0.6, 30.384362698375643
