p, g, q, Energy
0.05, 0.1, 0, 8.589131725009619
0.05, 0.1, 0.05, 8.793616141742893
0.05, 0.1, 0.1, 8.829606087736371
0.05, 0.1, 0.15, 9.304202935009602
0.05, 0.1, 0.2, 10.142830440734848
0.05, 0.1, 0.25, 10.797381540253754
0.05, 0.1, 0.3, 12.049490924943415
0.05, 0.1, 0.35, 13.273851561585033
0.05, 0.1, 0.4, 14.914589066542154
0.05, 0.1, 0.45, 16.309438745326485
0.05, 0.1, 0.5, 18.268936358465922
0.05, 0.1, 0.55, 19.801266287182536
0.05, 0.1, 0.6, 22.627889686092054
0.05, 0.1, 0.65, 23.982067430914856
0.05, 0.1, 0.7, 26.778962774230486
0.05, 0.1, 0.75, 29.000322602095622
0.05, 0.1, 0.8, 31.06170394428766
0.05, 0.1, 0.85, 34.06096791820733
0.05, 0.1, 0.9, 36.462927252742546
0.05, 0.1, 0.95, 38.89326271157976
0.05, 0.1, 1, 41.833450495475034
0.05, 0.1, 1.05, 46.68806708278687
0.05, 0.1, 1.1, 48.61887226225405
0.05, 0.15, 0, 9.76040526495171
0.05, 0.15, 0.05, 9.452541260079823
0.05, 0.15, 0.1, 9.475375450882797
0.05, 0.15, 0.15, 9.896651948382171
0.05, 0.15, 0.2, 10.674861740505971
0.05, 0.15, 0.25, 11.671323286432488
0.05, 0.15, 0.3, 12.98034656157302
0.05, 0.15, 0.35, 14.306526949134817
0.05, 0.15, 0.4, 15.553343650441139
0.05, 0.15, 0.45, 17.241169020559806
0.05, 0.15, 0.5, 19.006921745985327
0.05, 0.15, 0.55, 21.09889241242304
0.05, 0.15, 0.6, 22.232461762176417
0.05, 0.15, 0.65, 24.646891463641733
0.05, 0.15, 0.7, 26.707086198290924
0.05, 0.15, 0.75, 30.213997964132506
0.05, 0.15, 0.8, 32.328640164590496
0.05, 0.15, 0.85, 35.8283324962738
0.05, 0.15, 0.9, 37.52521169800003
0.05, 0.15, 0.95, 38.97756612483367
0.05, 0.15, 1, 42.61277424937335
0.05, 0.15, 1.05, 45.6088230505326
0.05, 0.15, 1.1, 49.067135870347684
0.05, 0.2, 0, 9.744591360852386
0.05, 0.2, 0.05, 10.055968795578378
0.05, 0.2, 0.1, 10.528927067405144
0.05, 0.2, 0.15, 10.694626572598933
0.05, 0.2, 0.2, 11.25348037827768
0.05, 0.2, 0.25, 12.218796035186978
0.05, 0.2, 0.3, 14.196223676114188
0.05, 0.2, 0.35, 14.564011937637547
0.05, 0.2, 0.4, 16.591201290658894
0.05, 0.2, 0.45, 17.723079410266596
0.05, 0.2, 0.5, 19.547500650415092
0.05, 0.2, 0.55, 21.76902228869993
0.05, 0.2, 0.6, 22.98445881336182
0.05, 0.2, 0.65, 25.47076083359006
0.05, 0.2, 0.7, 27.519693861717066
0.05, 0.2, 0.75, 30.41957632151756
0.05, 0.2, 0.8, 32.35823823392964
0.05, 0.2, 0.85, 35.881306715261466
0.05, 0.2, 0.9, 38.6029298478448
0.05, 0.2, 0.95, 40.679730088544225
0.05, 0.2, 1, 45.122413959470244
0.05, 0.2, 1.05, 45.97945583035896
0.05, 0.2, 1.1, 48.892463820700065
0.05, 0.25, 0, 10.499967725184973
0.05, 0.25, 0.05, 11.07962869229196
0.05, 0.25, 0.1, 10.957099214217491
0.05, 0.25, 0.15, 11.835409268766591
0.05, 0.25, 0.2, 12.057751936318661
0.05, 0.25, 0.25, 12.821824470636669
0.05, 0.25, 0.3, 14.193077742188395
0.05, 0.25, 0.35, 15.229101463592873
0.05, 0.25, 0.4, 17.45388255674073
0.05, 0.25, 0.45, 18.911140621423275
0.05, 0.25, 0.5, 20.338735623562705
0.05, 0.25, 0.55, 21.96695384000355
0.05, 0.25, 0.6, 24.479928607716353
0.05, 0.25, 0.65, 26.04565889538785
0.05, 0.25, 0.7, 28.722787125814513
0.05, 0.25, 0.75, 31.362948499789717
0.05, 0.25, 0.8, 34.45579574195349
0.05, 0.25, 0.85, 36.06042611666165
0.05, 0.25, 0.9, 38.35855107218987
0.05, 0.25, 0.95, 40.792166152118114
0.05, 0.25, 1, 42.92870010814994
0.05, 0.25, 1.05, 48.18113435127856
0.05, 0.25, 1.1, 51.61713694212894
0.05, 0.3, 0, 11.83534314863299
0.05, 0.3, 0.05, 10.744758364707675
0.05, 0.3, 0.1, 11.2839182016878
0.05, 0.3, 0.15, 12.287786116644465
0.05, 0.3, 0.2, 11.944696567340513
0.05, 0.3, 0.25, 13.717103549052704
0.05, 0.3, 0.3, 14.587406120492421
0.05, 0.3, 0.35, 15.869773324599173
