g, p, q, pore_AR
0.1, 0.05, 0, 2.9329066232039773
0.1, 0.05, 0.05, 2.9080639125624406
0.1, 0.05, 0.1, 2.9182030252270663
0.1, 0.05, 0.15, 2.8327628532711517
0.1, 0.05, 0.2, 2.7325950162408663
0.1, 0.05, 0.25, 2.7016557416973916
0.1, 0.05, 0.3, 2.557174878273836
0.1, 0.05, 0.35, 2.4575595744572487
0.1, 0.05, 0.4, 2.287862004274462
0.1, 0.05, 0.45, 2.1741821780682793
0.1, 0.05, 0.5, 1.99093129006557
0.1, 0.05, 0.55, 1.8404517694631473
0.1, 0.05, 0.6, 1.6835491755332372
0.1, 0.05, 0.65, 1.5100551937758415
0.1, 0.05, 0.7, 1.382321818107027
0.1, 0.05, 0.75, 1.2715138166951723
0.1, 0.05, 0.8, 1.1712059277307934
0.1, 0.05, 0.85, 1.1532659296021281
0.1, 0.05, 0.9, 1.0788400597432788
0.1, 0.05, 0.95, 1.0405508216526036
0.1, 0.05, 1, 1.029410722291306
0.1, 0.05, 1.05, 1.0505322423114132
0.1, 0.05, 1.1, 0.9649774789075211
0.15, 0.05, 0, 2.902845504754932
0.15, 0.05, 0.05, 3.6145474141892184
0.15, 0.05, 0.1, 3.274484782899891
0.15, 0.05, 0.15, 3.193447723480002
0.15, 0.05, 0.2, 3.066411367911172
0.15, 0.05, 0.25, 2.987590692074085
0.15, 0.05, 0.3, 2.8520791883176435
0.15, 0.05, 0.35, 2.7533956840419673
0.15, 0.05, 0.4, 2.540466586591138
0.15, 0.05, 0.45, 2.4112050688192475
0.15, 0.05, 0.5, 2.214561680910707
0.15, 0.05, 0.55, 2.0160953276465383
0.15, 0.05, 0.6, 1.8002612978705832
0.15, 0.05, 0.65, 1.6015483271328748
0.15, 0.05, 0.7, 1.3954072033932963
0.15, 0.05, 0.75, 1.3069930060619044
0.15, 0.05, 0.8, 1.2620481337232188
0.15, 0.05, 0.85, 1.1985342427014098
0.15, 0.05, 0.9, 1.0990772007292104
0.15, 0.05, 0.95, 1.03277214335404
0.15, 0.05, 1, 0.9927611862452389
0.15, 0.05, 1.05, 0.9972321983868652
