g, p, q, pore_area
0.1, 0.05, 0, 7.807551040505842
0.1, 0.05, 0.05, 7.7109334211706795
0.1, 0.05, 0.1, 7.672998577743812
0.1, 0.05, 0.15, 7.639598002724398
0.1, 0.05, 0.2, 7.717993830269577
0.1, 0.05, 0.25, 7.933984384710513
0.1, 0.05, 0.3, 8.046251272951224
0.1, 0.05, 0.35, 8.263558524724758
0.1, 0.05, 0.4, 8.466490966842272
0.1, 0.05, 0.45, 8.849423048894764
0.1, 0.05, 0.5, 9.245603656266923
0.1, 0.05, 0.55, 10.319718675708174
0.1, 0.05, 0.6, 11.121663932443724
0.1, 0.05, 0.65, 12.360684708400925
0.1, 0.05, 0.7, 13.320216897750171
0.1, 0.05, 0.75, 14.34723332305596
0.1, 0.05, 0.8, 15.655446714853696
0.1, 0.05, 0.85, 15.555288561170798
0.1, 0.05, 0.9, 16.405363451448267
0.1, 0.05, 0.95, 17.220459914308265
0.1, 0.05, 1, 17.52743014066114
0.1, 0.05, 1.05, 16.644808675695202
0.1, 0.05, 1.1, 18.655979508853108
0.15, 0.05, 0, 7.21935794600023
0.15, 0.05, 0.05, 6.9495549781006645
0.15, 0.05, 0.1, 7.111630651164674
0.15, 0.05, 0.15, 7.0055774359665435
0.15, 0.05, 0.2, 7.044389428903202
0.15, 0.05, 0.25, 7.15422741348813
0.15, 0.05, 0.3, 7.234442617495475
0.15, 0.05, 0.35, 7.4685117331919315
0.15, 0.05, 0.4, 7.736799830439509
0.15, 0.05, 0.45, 8.160912496472676
0.15, 0.05, 0.5, 8.633595183632025
0.15, 0.05, 0.55, 9.08296559239264
0.15, 0.05, 0.6, 10.900621607321341
0.15, 0.05, 0.65, 12.087313025808797
0.15, 0.05, 0.7, 13.38897231221992
0.15, 0.05, 0.75, 13.888575790132492
0.15, 0.05, 0.8, 13.608857737285064
0.15, 0.05, 0.85, 14.208239418580646
0.15, 0.05, 0.9, 16.312787243099194
0.15, 0.05, 0.95, 17.515718588075657
0.15, 0.05, 1, 18.449851655139696
0.15, 0.05, 1.05, 17.969226332136145
0.15, 0.05, 1.1, 18.220109493471227
0.2, 0.05, 0, 6.549133724515471
0.2, 0.05, 0.05, 6.249340433034618
0.2, 0.05, 0.1, 6.094302737535131
0.2, 0.05, 0.15, 6.249172612845015
0.2, 0.05, 0.2, 6.324241147103066
0.2, 0.05, 0.25, 6.364673744711965
0.2, 0.05, 0.3, 6.433087990785651
0.2, 0.05, 0.35, 6.692682543378254
0.2, 0.05, 0.4, 7.162182848733764
0.2, 0.05, 0.45, 7.730988957596338
0.2, 0.05, 0.5, 8.345001726683591
0.2, 0.05, 0.55, 9.170604976140439
0.2, 0.05, 0.6, 10.26775627241571
0.2, 0.05, 0.65, 11.750423973474852
0.2, 0.05, 0.7, 12.64914736100549
0.2, 0.05, 0.75, 14.163591033140392
0.2, 0.05, 0.8, 15.362113838944737
0.2, 0.05, 0.85, 14.049697658001989
0.2, 0.05, 0.9, 16.899044617847977
0.2, 0.05, 0.95, 17.45855357695254
0.2, 0.05, 1, 15.641238492223025
0.2, 0.05, 1.05, 18.08872564681556
0.2, 0.05, 1.1, 19.480045699494426
0.25, 0.05, 0, 5.653600231753273
0.25, 0.05, 0.05, 5.443124643906302
0.25, 0.05, 0.1, 5.3848997010325945
0.25, 0.05, 0.15, 5.48629718890983
0.25, 0.05, 0.2, 5.360040865045846
0.25, 0.05, 0.25, 5.507587701631294
0.25, 0.05, 0.3, 5.564872082546188
0.25, 0.05, 0.35, 5.920866905610353
0.25, 0.05, 0.4, 6.216310794309507
0.25, 0.05, 0.45, 6.9639292721490875
0.25, 0.05, 0.5, 7.490153617117372
0.25, 0.05, 0.55, 8.605955302725349
0.25, 0.05, 0.6, 9.694280228954824
0.25, 0.05, 0.65, 11.191519033047257
0.25, 0.05, 0.7, 12.568388568373408
0.25, 0.05, 0.75, 14.011155124675057
0.25, 0.05, 0.8, 14.594093425886854
0.25, 0.05, 0.85, 15.711187543569224
0.25, 0.05, 0.9, 16.45967090459213
0.25, 0.05, 0.95, 17.55354336749957
0.25, 0.05, 1, 18.331038954630543
0.25, 0.05, 1.05, 18.54846569381884
0.25, 0.05, 1.1, 19.220949645663396
0.3, 0.05, 0, 4.919702038602324
0.3, 0.05, 0.05, 4.769573304253626
0.3, 0.05, 0.1, 4.682226068774241
0.3, 0.05, 0.15, 4.6078763655219745
0.3, 0.05, 0.2, 4.532001616844141
0.3, 0.05, 0.25, 4.637136435678002
0.3, 0.05, 0.3, 4.9382200427069165
0.3, 0.05, 0.35, 5.228603874152711
0.3, 0.05, 0.4, 5.585481278126451
0.3, 0.05, 0.45, 6.15651868791096
0.3, 0.05, 0.5, 6.598564784161113
0.3, 0.05, 0.55, 7.17569595288694
0.3, 0.05, 0.6, 7.730564604600332
0.3, 0.05, 0.65, 8.665572028628802
0.3, 0.05, 0.7, 12.466456169381019
0.3, 0.05, 0.75, 14.73464382558224
0.3, 0.05, 0.8, 15.68064675494307
0.3, 0.05, 0.85, 16.42512069080044
0.3, 0.05, 0.9, 16.17637966303471
0.3, 0.05, 0.95, 18.40307047661925
0.3, 0.05, 1, 17.276852700567957
0.3, 0.05, 1.05, 17.527912621740114
0.3, 0.05, 1.1, 18.891435098415485
0.35, 0.05, 0, 4.302392440184775
0.35, 0.05, 0.05, 4.143459835770059
0.35, 0.05, 0.1, 4.0494349931991565
0.35, 0.05, 0.15, 3.8506696276606363
0.35, 0.05, 0.2, 3.8734289114015326
0.35, 0.05, 0.25, 4.124995422626029
0.35, 0.05, 0.3, 4.343086279896539
0.35, 0.05, 0.35, 4.480686790048594
0.35, 0.05, 0.4, 4.9019367250501205
0.35, 0.05, 0.45, 4.960354934262355
0.35, 0.05, 0.5, 3.9903266906310364
0.35, 0.05, 0.55, 2.971335834942309
0.35, 0.05, 0.6, 2.222684847577085
0.35, 0.05, 0.65, 1.5462424634127103
0.35, 0.05, 0.7, 0.7569885966596246
0.35, 0.05, 0.75, 0.6649004024651219
0.35, 0.05, 0.8, 0.8619068876184031
0.35, 0.05, 0.85, 17.343119596046947
0.35, 0.05, 0.9, 16.9709887666223
0.35, 0.05, 0.95, 17.50555996697736
0.35, 0.05, 1, 17.35207093446776
0.35, 0.05, 1.05, 18.269600264614
0.35, 0.05, 1.1, 17.98844255333387
0.4, 0.05, 0, 3.7489835292955576
0.4, 0.05, 0.05, 3.6668460677637285
0.4, 0.05, 0.1, 3.4679363519966557
0.4, 0.05, 0.15, 3.4696297070170203
0.4, 0.05, 0.2, 3.5427525026417754
0.4, 0.05, 0.25, 3.5982725409085674
0.4, 0.05, 0.3, 3.909771813300381
0.4, 0.05, 0.35, 4.0519837043814135
0.4, 0.05, 0.4, 3.772104124687644
